,100 to 105 MW,105 to 110 MW,110 to 115 MW,115 to 120 MW,120 to 125 MW,125 to 130 MW,130 to 135 MW,135 to 140 MW,140 to 145 MW,145 to 150 MW,150 to 155 MW,155 to 160 MW,160 to 165 MW,165 to 170 MW,170 to 175 MW,175 to 180 MW,180 to 185 MW,185 to 190 MW,190 to 195 MW,195 to 200 MW,200 to 205 MW,205 to 210 MW,210 to 215 MW,215 to 220 MW,220 to 225 MW
BF2503,4.5103123434363015,5.597559493646427,4.733846617525025,5.231836844590174,6.853047375991952,5.942117628103222,8.109277041618494,8.159353149368542,6.630317377300483,6.9503522153768555,5.856156526158045,7.981967549039895,7.3556430822164645,6.35340174612997,5.4313257640358135,7.620849977865236,7.81429178835516,7.868279977228725,6.62860090909449,5.099815559849243,3.968793848403267,3.962932594329379,3.414716433273619,3.248371014400662,2.219522613626706
C105,0.3656050562046667,0.4690372077193002,0.39057012373786804,0.4232196313305583,0.46561232301892663,0.43179760450229754,0.40438198696809546,0.40478529589439166,0.4127195763450768,0.38071841932098643,0.4588829257519497,0.506414898572478,0.5114842657712321,0.534382250912184,0.49601437015604183,0.44484458274186117,0.46263090550496977,0.4451875894987095,0.5161260666616216,0.6337889670657526,0.5677772835426261,0.69703696293474,0.8227840357126589,0.6703573577695581,0.5565330772658315
C205,0.3071919074727747,0.47365625033864406,0.372018386679063,0.35866346352683637,0.3360506448408102,0.357373051734058,0.3667245482084126,0.34278044491861415,0.3218477802333973,1.3578723096462695,0.43874039433504664,0.5455151061356863,0.45828143102867475,0.3962255793228193,0.33785355465844996,0.3658689679601901,0.4310151482600346,0.41661507287643695,0.5130739161925365,0.478973676004263,0.5435210778010316,0.5349994884174232,0.5279788734354192,0.41544734900771413,0.35313560908661346
C305,0.38191120172470944,0.5439996559149902,0.5013616071830368,0.45314191620686356,0.3900529273107662,0.43774237111010356,0.4949272393623259,0.48669441917021544,0.4214607469680189,2.961324156698969,0.37717985344921384,0.5679199733894931,0.46236269701824,0.4929720784469609,0.47759492379399743,0.46856179957384564,0.49059881648692844,0.4600347212341294,0.4944362686462656,0.32589136583026224,0.4298594390438383,0.5450372507776196,0.5478233108881362,0.5393362840146979,0.4063528333596982
C411,0.4437796515865755,0.7055628358930589,0.6309520108471433,0.5153110063771811,0.5192190041998193,0.566103070272018,0.5907531376364942,0.6030238836016724,0.5439985961818808,0.5559285274420536,0.42288712101387554,0.6563526118702896,0.5396047020284404,0.7076815544947523,0.5227122946480491,0.5505882746992277,0.6135509841160266,0.6283293393773733,0.5363386056780572,0.39900505104588263,0.44600345401611613,0.5385639593057624,0.4431082196837745,0.5295017035375311,0.4604997625163364
CW119,0.014865097714790698,0.01847653037613741,0.014899975143781724,0.015397641032939776,0.014891304850915962,0.01264073145988499,0.012884284070927423,0.011423173790444267,0.014571089803367597,0.013817676851083548,0.023426701505107943,0.024260177012146136,0.017064147065480203,0.01996249046151215,0.01675237870508193,0.01808909957776293,0.012166525852605603,0.010472627176498326,0.014789195859673797,0.01589672305165695,0.014688627477366706,0.012661430982841058,0.016595287746937637,0.014556043801616543,0.010496313646664528
CW129,0.05124391671949339,0.027866827291677623,0.0261730229292993,0.03222323612519713,0.027141576136428387,0.0230602461184849,0.025691639821762854,0.02016174184611557,0.02620770822177633,0.029814762665149836,0.04950457720859533,0.050452596425113704,0.03675667187000387,0.05333638786579954,0.056365960013381525,0.041476007071451285,0.020067806297379292,0.023404311234666294,0.02776815097147046,0.03095401192952951,0.0274841295054431,0.021282827169931122,0.025957385168478814,0.026020198765008797,0.022321811517465526
D207,0.4013338264403665,0.5243099995974599,0.4657092566820664,0.41805626358685627,0.49479753648901575,0.5450843258751795,0.46114356343279284,0.42463543268897996,0.45180476438672784,0.6300323299322118,0.8679162781428796,1.0261940956659918,0.6983933346247716,0.679699465655878,0.5803675329387652,0.7807810243485415,0.4870420507216267,0.8488922885275444,1.0278846920110518,0.9883270049695957,0.9159845984737537,0.9137463781198879,0.8649419584082849,0.6530073601393968,0.5240439177368899
D607,0.4903029339651735,0.8806713732072683,0.714657870757662,0.623903953184264,0.623622705696197,0.7001758032066706,0.7016444005510288,0.7377589624656856,0.6231649661970793,0.5508273302245492,0.5256403570409605,0.8114356578117672,0.6764549402343208,0.6591990246708646,0.6121013662897272,0.6347127016716014,0.5835288482280588,0.6468377543654903,0.46511094727395746,0.3914319563024,0.49772050121169226,0.5488003977893022,0.48442850261267495,0.6167340572856271,0.5216637080132079
FW402,10054.586537040092,10101.012724278673,11740.475230254338,8316.728562915101,6933.991966589351,7870.0198235626385,7754.264462355382,8044.035659444949,6926.305860475826,7477.658638215183,5175.003519011892,6760.296110730865,6621.259098484379,8168.361962163379,6952.796430653647,6728.684837385464,8294.071109254126,8280.841287449695,5976.318177175763,5891.175285581018,5641.596480508926,7549.001547275047,6707.926805815827,7451.080732934207,6197.491034001596
