,NGCC profit (M$),SOFC profit (M$),NGCC+SOEC profit (M$),rSOC profit (M$),SOFC+SOEC profit (M$),SOEC profit (M$),Natural Gas Price ($/MMBtu),Carbon Tax ($/tonne),Hydrogen Price ($/kg),Mean LMP ($/MWh),Minimum LMP ($/MWh),25th Percentile ($/MWh),50th Percentile ($/MWh),75th Percentile ($/MWh),Maximum LMP ($/MWh),Standard Deviation ($/MWh),Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Dip Test p-value
WinterNYTax_2030_10,-38.10193382,65.16722757,-86.9358547,72.96624296,65.09761503,-65.99529838,2.94,60,1,48.00396996,1.36E-08,44.03599916,46.22400126,51.96499927,1800.000005,44.4710803,22.44251455,734.2625828,0.68451291,0.035512274,0
WinterNY_2030_10,-141.7867798,-46.95015561,-193.0626789,-51.47011484,-56.24893566,-58.90261659,2.94,0,1,29.087939,2.60E-07,21.54800309,23.72600036,28.24272251,4257.425614,81.72304869,31.53582536,1215.074842,0.817279371,0.035635328,0
BaseCaseCapRes_2030_15,-170.9993069,-95.56841907,-147.5137951,-21.24172709,-12.32332512,42.20243369,2.94,0,1.5,20.10986108,-330.0078856,17.74400002,19.98099997,23.24599975,111.6506992,8.712783131,-16.80026372,641.2076537,0.439684949,0.052328648,0
BaseCaseTaxCapRes_2030_15,-73.76836897,26.81958804,-108.7838493,51.87854565,40.1793056,-44.98838841,2.94,60,1.5,40.85208675,-1.44E-06,37.34199985,40.10000002,45.54099967,209.1004493,23.24454762,2.217126408,13.80024625,0.352095293,0.060626954,0
BaseCaseTax_2030_15,-34.41676043,65.85214542,-69.61427883,91.68710234,83.22695577,-49.06523791,2.94,60,1.5,47.68705371,-1.02E-07,37.34200025,43.40000132,47.28000003,1800.000025,82.47529566,15.41570358,277.5773599,0.850542762,0.058925709,0
BaseCase_2030_15,-120.2608738,-33.20322003,-108.638943,21.37791276,34.7025128,19.10156258,2.94,0,1.5,30.24979611,-113.2815717,19.02499997,24.12941557,30.09999988,1349.591575,80.52218105,12.48307204,162.0554316,0.95014208,0.03618715,0
CAISO_NP15_2019_15,-123.1954036,-30.01195793,-150.6568299,5.314526857,2.294970855,-15.42200784,3.87,0,1.5,35.59410914,-43.3701,22.944475,30.83785,41.7378,1013.6738,37.8459945,13.8162834,281.6485925,0.674125919,0.005257709,0.116599676
CAISO_NP15_2022_15,37.50478563,170.8063814,-21.19568299,176.4569033,176.3445746,-61.17263382,7.47,0,1.5,89.63344005,-16.3892,51.30345,69.9768,91.973725,1971.8911,106.4439659,9.238668704,129.129212,0.65354456,0.004203258,0.419762646
CAISO_SP15_2019_15,-120.5008016,-28.43516988,-148.0091148,9.73303268,5.356652199,-15.35747287,3.87,0,1.5,35.76289704,-36.4988,21.907575,30.81345,42.2941,980.3147,39.34944274,13.05012585,246.6358946,0.686219743,0.005721276,0.057761912
CAISO_SP15_2022_15,24.56132403,147.883212,-36.59797756,165.0852273,157.4230335,-53.46745769,7.47,0,1.5,84.2986175,-27.4744,46.06545,65.96965,90.0033,1994.734,104.7273432,8.681443648,119.5721779,0.623035543,0.004089906,0.47001499
CAISO_ZP26_2019_15,-122.772682,-30.77605116,-149.9757902,7.532733165,3.193043568,-13.75114611,3.87,0,1.5,35.31622978,-40.6231,21.989275,30.6805,41.652475,1065.9115,38.85246235,14.03788728,289.0423989,0.678194615,0.005209614,0.126216799
CAISO_ZP26_2022_15,11.41363622,132.7612775,-50.72757748,153.1678354,142.7057569,-52.26861566,7.47,0,1.5,81.30118618,-35.0853,45.008325,65.30625,86.917725,1976.5301,101.7236996,9.083343261,129.9866901,0.627931106,0.003537333,0.732585374
ERCOT_HOUSTON_2019_15,-120.2623196,-34.12538779,-87.80304996,28.36901655,46.69474787,28.47841072,2.39,0,1.5,28.19617263,-71.9689,16.90365,19.634,24.99815,4694.6368,107.0564936,31.59607622,1156.477019,0.861863694,0.001605825,1
ERCOT_HOUSTON_2022_15,-60.9821364,38.60512212,-122.0090596,54.97037384,36.92019551,-45.80362103,7.05,0,1.5,61.97532545,-28.7943,30.784325,46.5179,68.534975,4835.4304,146.368505,20.3951491,525.1743386,0.789438761,0.003361584,0.810101805
ERCOT_NORTH_2019_15,-121.254932,-37.58060975,-87.94429611,30.74679571,46.29045293,32.32778618,2.39,0,1.5,27.53171447,-10.4186,16.181525,19.1182,24.5337,4696.8861,106.8929074,31.99749128,1178.307986,0.867545609,0.003474165,0.761236435
ERCOT_NORTH_2022_15,-90.43464638,4.813135476,-152.3610084,27.57103604,2.748639487,-38.82426616,7.05,0,1.5,55.0601666,-464.7304,28.1067,44.2324,64.246875,5073.4436,130.8880563,25.90569819,819.6266284,0.817022372,0.004782089,0.217680495
ERCOT_SOUTH_2019_15,-123.4373278,-37.60879009,-90.27522438,25.78056313,43.89808598,30.1312502,2.39,0,1.5,27.56735732,-50.289,16.821125,19.5852,24.84005,4694.8095,105.7408848,32.53129572,1210.846094,0.872667721,0.001490977,1
ERCOT_SOUTH_2022_15,-96.22365409,-2.540204899,-157.0347612,22.12123197,-4.114938057,-35.81184423,7.05,0,1.5,53.50807846,-31.1793,28.146175,43.3772,63.054075,4680.6634,114.0648859,25.23627761,817.1954926,0.777703504,0.003803781,0.605025296
ERCOT_WEST_2019_15,-120.391782,-41.007299,-86.56501882,40.13246615,49.0291486,41.29353514,2.39,0,1.5,26.20113035,-24.6412,14.519225,18.79145,24.54135,4697.196,107.584265,31.66664281,1160.646047,0.862612289,0.005114604,0.145215066
ERCOT_WEST_2022_15,-89.41281561,0.854227147,-153.1232554,51.22740281,12.0346519,-12.30832177,7.05,0,1.5,50.38087806,-47.6123,22.81375,42.12905,64.050475,5143.3014,132.1759345,25.50235673,807.5423241,0.803621666,0.03378391,0
HighSolarCapRes_2030_15,-169.6217719,-95.79928228,-146.2274196,-17.61360724,-10.88590403,44.15663744,2.94,0,1.5,19.96012651,-266.2156793,17.68400057,19.61800056,22.21099469,123.8209637,8.82069626,-4.116510706,250.0569619,0.07091521,0.058773988,0
HighSolarTaxCapRes_2030_15,-78.33970947,16.08388596,-106.4598287,57.74750649,42.86436426,-29.32853518,2.94,60,1.5,38.28499219,-1.950964584,33.02505928,39.91199741,46.68399988,205.2991611,25.23772448,1.609095662,9.191508808,0.294375893,0.064112568,0
HighSolarTax_2030_15,-37.86658452,56.66770078,-66.55630815,97.98440012,86.68908469,-34.71474434,2.94,60,1.5,45.43378918,-6.02E-07,34.15374562,40.09999998,47.73100015,1800,85.87019812,13.87271068,229.2184291,0.833057247,0.065325506,0
HighSolar_2030_15,-116.8734437,-33.56898157,-102.2188791,29.09769016,40.9933636,24.85891444,2.94,0,1.5,30.12822897,-111.2865714,18.772,22.773,27.41026977,1800,91.83028677,14.24656195,224.0559508,0.898296668,0.046175794,0
HighWindCapRes_2030_15,-170.999307,-95.5684177,-147.5139413,-21.24121431,-12.32312506,42.20243203,2.94,0,1.5,20.10986133,-330.0078845,17.74400006,19.98099999,23.24599993,111.6506988,8.712783232,-16.80026318,641.2076067,0.439684953,0.052328708,0
HighWindTaxCapRes_2030_15,-81.82094488,12.62705269,-111.6137819,55.2820972,38.16129736,-29.71311577,2.94,60,1.5,37.48910137,-3.80E-06,36.58900079,40.10000003,46.57699799,202.8804025,23.90980952,1.274886734,8.244159549,0.23346309,0.087720608,0
HighWindTax_2030_15,-36.90980187,56.43573378,-65.95336866,102.0581719,88.40370715,-30.92068933,2.94,60,1.5,45.06063183,-1.61E-07,36.58899998,43.4000026,48.71099863,1800.000003,89.50459325,15.12899956,263.4350975,0.862820789,0.091323837,0
HighWind_2030_15,-120.260872,-33.20322062,-108.6386403,21.37791729,34.70407426,19.09795457,2.94,0,1.5,30.24979597,-113.2815693,19.02499999,24.12941556,30.09999996,1349.591576,80.52218078,12.48307212,162.0554336,0.950142081,0.036187199,0
