model4, CAISO_100, 0.38339686393737793, 1.7181622664133707, 2.101559130350749, optimal
model5, CAISO_100, 0.8722625215848286, 6.369704949855804, 7.241967471440633, optimal
model6, CAISO_100, 0.3503112316131592, 1.0353629191716511, 1.3856741507848103, optimal
model3, CAISO_NP15_2022, 0.7942267378171285, 7.327628115812938, 8.121854853630067, optimal
model4, CAISO_NP15_2022, 0.46674963235855105, 4.141939047972361, 4.608688680330912, optimal
model5, CAISO_NP15_2022, 1.3157688657442728, 11.914621547857921, 13.230390413602194, optimal
model6, CAISO_NP15_2022, 0.5080703139305115, 1.1902387181917826, 1.6983090321222942, optimal
model3, CAISO_ZP26_2022, 0.845596170425415, 8.92077596584956, 9.766372136274974, optimal
model4, CAISO_ZP26_2022, 0.42363386948903403, 3.7384119192759195, 4.162045788764954, optimal
model5, CAISO_ZP26_2022, 1.0980431993802389, 9.935904800891876, 11.033948000272115, optimal
model6, CAISO_ZP26_2022, 0.4483913501103719, 1.398199494679769, 1.846590844790141, optimal
model3, CAISO_SP15_2022, 0.8013681372006735, 9.197409836451213, 9.998777973651887, optimal
model4, CAISO_SP15_2022, 0.44607973098754883, 4.070198233922323, 4.516277964909872, optimal
model5, CAISO_SP15_2022, 1.0262720187505086, 7.976668397585551, 9.00294041633606, optimal
model6, CAISO_SP15_2022, 0.40556926727294923, 1.4102496345837912, 1.8158189018567403, optimal
model3, ERCOT_NORTH_2022, 0.935535196463267, 9.270456051826477, 10.205991248289743, optimal
model4, ERCOT_NORTH_2022, 0.4176118016242981, 5.054686597983042, 5.47229839960734, optimal
model5, ERCOT_NORTH_2022, 0.8583731492360432, 17.70371333360672, 18.562086482842766, optimal
model6, ERCOT_NORTH_2022, 0.3221765359242757, 1.7409093181292217, 2.0630858540534973, optimal
model3, ERCOT_SOUTH_2022, 0.9079900662104289, 7.91923336982727, 8.827223436037698, optimal
model4, ERCOT_SOUTH_2022, 0.4046060840288798, 5.462559115886688, 5.8671651999155685, optimal
model5, ERCOT_SOUTH_2022, 1.0326808492342632, 25.0321341474851, 26.064814996719363, optimal
model6, ERCOT_SOUTH_2022, 0.373187001546224, 1.674825386206309, 2.048012387752533, optimal
model3, ERCOT_WEST_2022, 0.9716051340103149, 9.429770263036092, 10.401375397046406, optimal
model4, ERCOT_WEST_2022, 0.3749252716700236, 6.24842123190562, 6.623346503575643, optimal
model5, ERCOT_WEST_2022, 1.3178886334101358, 15.186365898450216, 16.50425453186035, optimal
model6, ERCOT_WEST_2022, 0.3318161368370056, 1.6084071795145671, 1.9402233163515727, optimal
model3, ERCOT_HOUSTON_2022, 0.9358532826105753, 10.168421701590221, 11.104274984200796, optimal
model4, ERCOT_HOUSTON_2022, 0.4178778847058614, 5.205646733442943, 5.623524618148804, optimal
model5, ERCOT_HOUSTON_2022, 2.014851701259613, 14.812833031018576, 16.82768473227819, optimal
model6, ERCOT_HOUSTON_2022, 0.37358105182647705, 1.6360649665196736, 2.0096460183461504, optimal
model3, ISO_NE_2022, 0.9618243177731832, 6.611162165800731, 7.572986483573914, optimal
model4, ISO_NE_2022, 0.5752612312634786, 4.887854448954264, 5.463115680217743, optimal
model5, ISO_NE_2022, 0.9940263509750367, 10.289963515599569, 11.283989866574606, optimal
model6, ISO_NE_2022, 0.38341870307922366, 0.9795401175816854, 1.362958820660909, optimal
model3, NYISO_2022, 0.9710501670837403, 6.521522851785024, 7.4925730188687645, optimal
model4, NYISO_2022, 0.4485732038815816, 4.806274501482646, 5.254847705364227, optimal
model5, NYISO_2022, 1.029129950205485, 18.61919770240784, 19.64832765261332, optimal
model6, NYISO_2022, 0.30988161961237587, 1.4291899998982747, 1.7390716195106506, optimal
model3, MISO_INDIANA_2022, 0.8479544321695963, 19.13278135061264, 19.980735782782236, optimal
model4, MISO_INDIANA_2022, 0.5010152816772461, 4.196176985899608, 4.697192267576853, optimal
model5, MISO_INDIANA_2022, 1.043624182542165, 8.263747751712799, 9.307371934254965, optimal
model6, MISO_INDIANA_2022, 0.4309656302134196, 1.114998698234558, 1.5459643284479778, optimal
model3, MISO_LOUISIANA_2022, 0.9193330685297648, 9.027534468968708, 9.946867537498473, optimal
model4, MISO_LOUISIANA_2022, 0.5025457461675008, 4.732785844802857, 5.2353315909703575, optimal
model5, MISO_LOUISIANA_2022, 0.9309946497281393, 14.50113395055135, 15.43212860027949, optimal
model6, MISO_LOUISIANA_2022, 0.4558990836143494, 1.2044649521509807, 1.6603640357653302, optimal
model3, MISO_MINNESOTA_2022, 1.0622554341952006, 10.200022486845652, 11.262277921040853, optimal
model4, MISO_MINNESOTA_2022, 0.41550120115280154, 5.364823877811432, 5.780325078964234, optimal
model5, MISO_MINNESOTA_2022, 1.3507214069366456, 35.899646282196045, 37.25036768913269, optimal
model6, MISO_MINNESOTA_2022, 0.28171918392181394, 1.9428048531214397, 2.2245240370432535, optimal
