model6, WinterNYCapRes_2030,0.130311652,0.153777051,0.284088703, locallyOptimal
model3, BaseCaseTaxCapRes_2030,0.932614136,3.678531718,4.611145854, optimal
model4, BaseCaseTaxCapRes_2030,0.225175949,3.478685999,3.703861948, optimal
model5, BaseCaseTaxCapRes_2030,2.794252264,5.136236068,7.930488332, optimal
model6, BaseCaseTaxCapRes_2030,0.162548963,0.993892467,1.15644143, optimal
model3, HighWindTaxCapRes_2030,0.948241731,5.981033766,6.929275497, optimal
model4, HighWindTaxCapRes_2030,0.233861017,3.434599002,3.668460019, optimal
model5, HighWindTaxCapRes_2030,1.426979538,17.843134,19.27011354, optimal
model6, HighWindTaxCapRes_2030,0.164714603,0.671258565,0.835973167, optimal
model3, HighSolarTaxCapRes_2030,0.909195979,6.188415933,7.097611912, optimal
model4, HighSolarTaxCapRes_2030,0.246850049,3.343809601,3.59065965, optimal
model5, HighSolarTaxCapRes_2030,1.689568599,8.987711267,10.67727987, optimal
model6, HighSolarTaxCapRes_2030,0.173365605,0.893848952,1.067214557, optimal
model3, WinterNYTaxCapRes_2030,0.93712585,3.609798618,4.546924468, optimal
model4, WinterNYTaxCapRes_2030,0.246848933,3.413124005,3.659972938, optimal
model5, WinterNYTaxCapRes_2030,0.835770567,5.176610533,6.012381101, optimal
model6, WinterNYTaxCapRes_2030,0.160252448,0.918819253,1.079071701, optimal
model3, ERCOT_0,1.089487151,3.715330799,4.804817951, optimal
model4, ERCOT_0,0.245572833,3.125402439,3.370975272, optimal
model5, ERCOT_0,1.518570717,3.846008901,5.364579618, optimal
model6, ERCOT_0,0.156859036,0.420722882,0.577581918, optimal
model3, ERCOT_100,0.510016966,6.315506554,6.82552352, optimal
model4, ERCOT_100,0.353907398,2.791036697,3.144944096, optimal
model5, ERCOT_100,0.426278297,9.759234015,10.18551231, optimal
model6, ERCOT_100,0.285281519,2.12875977,2.414041289, optimal
model3, CAISO_100,0.503553748,4.763255902,5.26680965, optimal
model4, CAISO_100,0.362081766,2.639296401,3.001378167, optimal
model5, CAISO_100,0.684357667,5.590872431,6.275230098, optimal
model6, CAISO_100,0.269691718,0.95102971,1.220721428, optimalmodel3, CAISO_NP15_2022, 0.5164567351341247, 8.748568300406138, 9.265025035540262, optimal
model4, CAISO_NP15_2022, 0.2742426832516988, 3.046405831972758, 3.3206485152244567, optimal
model5, CAISO_NP15_2022, 0.7299939155578613, 9.941800181070963, 10.671794096628824, optimal
model6, CAISO_NP15_2022, 0.37291183074315387, 1.5299548228581747, 1.9028666536013286, optimal
model3, CAISO_ZP26_2022, 0.5235328316688538, 11.420538564523062, 11.944071396191916, optimal
model4, CAISO_ZP26_2022, 0.25959852933883665, 3.2608845988909403, 3.520483128229777, optimal
model5, CAISO_ZP26_2022, 0.7376769344011943, 11.628315218289693, 12.365992152690888, optimal
model6, CAISO_ZP26_2022, 0.2612151503562927, 1.3982889691988627, 1.6595041195551554, optimal
model3, CAISO_SP15_2022, 0.47909766832987466, 9.61155552069346, 10.090653189023335, optimal
model4, CAISO_SP15_2022, 0.2622649828592936, 3.1087787469228108, 3.3710437297821043, optimal
