,flow_mass,flow_mol,temperature,pressure,enth_mol,vapor_frac,"('flow_mol_comp', 'O2')","('flow_mol_comp', 'N2')","('flow_mol_comp', 'NO')","('flow_mol_comp', 'CO2')","('flow_mol_comp', 'H2O')","('flow_mol_comp', 'SO2')"
S048,261.7489179135199,14529.272812496942,284.05235166668047,500000.0,833.9485992439454,0.0,,,,,14529.272812496942,
S049,261.7489179135199,14529.272812496942,294.03021711436213,500000.0,1586.4964074095997,0.0,,,,,14529.272812496942,
S050,0.8586899601078265,47.66453588885804,298.14809855219966,100000.0,1890.0,0.0,,,,,47.66453588885804,
S050b,0.8586899601078265,47.66453588885804,294.16494398543585,2490.302051114284,1889.9999999999998,0.00683366695944567,,,,,47.66453588885804,
S051,183.61593912182593,10192.233433053825,439.7559113629105,13352711.74170856,12816.659173699743,0.0,,,,,10192.233433053825,
S052,4.566168974503582,253.4608940024014,608.6507733894244,453673.44351611973,56549.548791656,1.0,,,,,253.4608940024014,
S053,4.566168974503582,253.4608940024014,367.9698057022836,32936.69199927029,48182.18931109808,1.0,,,,,253.4608940024014,
S054,0.054767467971722494,3.0400564394071306,439.7559113629105,13352711.74170856,12816.659173699743,0.0,,,,,3.0400564394071306,
SA02,162.0112305949427,5631.509048214196,372.64025444444445,80706.62860516406,185.02395398558207,,1170.4528405808387,4415.079441461928,0.0005631509048214197,1.8995080019626485,44.076131867658056,0.0005631509048214197
SA03,162.0112305949427,5631.509048214196,649.5849948162057,79757.10695793475,8479.736512716412,,1170.4528405808387,4415.079441461928,0.0005631509048214197,1.8995080019626485,44.076131867658056,0.0005631509048214197
TA02,8.204658559385395,285.19351904350464,322.5329388888889,86137.25656137477,-1276.3592168807531,,59.27461868629189,223.58999904898343,0.00028519350792095783,0.096206892768548,2.2321240284449613,0.00028519350792095783
fwh1.SMX,22.709100866726374,1260.546650772365,359.003318203276,59825.633892540915,22357.57803332774,0.38437898483912997,,,,,1260.546650772365,
fwh2.FW1,151.56359382334108,8413.057905474745,348.25995132949106,710631.0760696392,5675.409370758802,0.0,,,,,8413.057905474745,
fwh2.SC,13.957954128198626,774.7841903205848,374.74647582671065,109826.38306544888,7672.782671932195,0.0,,,,,774.7841903205848,
fwh2.SMX,13.957954128198626,774.7841903205848,374.74691950562914,107323.05931911085,20071.796439727765,0.3055927216325389,,,,,774.7841903205848,
fwh3.FW1,151.56359382334108,8413.057905474745,366.086344957416,710631.0760696392,7023.853570642798,0.0,,,,,8413.057905474745,
fwh3.SC,9.695552480010695,538.1849452248699,407.11725080411776,306342.3734220613,10148.545636159626,0.0,,,,,538.1849452248699,
fwh5.FW1,183.61593912182593,10192.233433053825,440.6744940156042,13352711.74170856,12888.014689530735,0.0,,,,,10192.233433053825,
fwh5.FW2,183.61593912182593,10192.233433053825,453.671675082404,13352711.74170856,13902.683932868566,0.0,,,,,10192.233433053825,
fwh5.SC,23.28298931745794,1292.4023005725105,456.8698310991947,1093847.0308272948,14043.135639560835,0.0,,,,,1292.4023005725105,
fwh5.SDS,4.66680865252097,259.0472450342692,458.5080890549632,1091537.7732891056,50169.926861950276,1.0,,,,,259.0472450342692,
fwh5.SMX,23.28298931745794,1292.4023005725105,456.8700851081682,1091537.7732891056,22045.091207775207,0.22199303124398204,,,,,1292.4023005725105,
fwh6.FW1,183.61593912182593,10192.233433053825,460.58928635473796,13352711.74170856,14446.944026522237,0.0,,,,,10192.233433053825,
fwh6.FW2,183.61593912182593,10192.233433053825,503.39933572263044,13352711.74170856,17901.51519604251,0.0,,,,,10192.233433053825,
fwh6.SC,18.616180664936973,1033.3550555382415,508.0041447800454,3056592.6514733983,18250.928296765258,0.0,,,,,1033.3550555382415,
fwh6.SDS,18.616180664936973,1033.3550555382415,540.2379721933369,3054446.7509693275,52324.20793297776,1.0,,,,,1033.3550555382415,
"hp_stream[(1, 1)]",183.0702420664766,10161.942643493556,749.6636487671103,7230540.336618175,60370.11108335452,1.0,,,,,10161.942643493556,
"hp_stream[(10, 1)]",183.0702420664766,10161.942643493556,660.1117926212856,3981830.5301117045,57357.134313826806,1.0,,,,,10161.942643493556,
"hp_stream[(11, 1)]",183.0702420664766,10161.942643493556,650.7847413093949,3726449.316093312,57044.311678615384,1.0,,,,,10161.942643493556,
"hp_stream[(12, 1)]",183.0702420664766,10161.942643493556,641.5784076749283,3487447.3939559534,56735.69828119567,1.0,,,,,10161.942643493556,
"hp_stream[(13, 1)]",183.0702420664766,10161.942643493556,632.4917625410268,3263774.251023684,56431.246440879106,1.0,,,,,10161.942643493556,
"hp_stream[(14, 1)]",183.0702420664766,10161.942643493556,623.5237911859907,3054446.7509693275,56130.90895174901,1.0,,,,,10161.942643493556,
"hp_stream[(2, 1)]",183.0702420664766,10161.942643493556,739.2017831323599,6766797.805335032,60017.15951517333,1.0,,,,,10161.942643493556,
"hp_stream[(3, 1)]",183.0702420664766,10161.942643493556,728.8704297169728,6332798.159826519,59668.87529309928,1.0,,,,,10161.942643493556,
"hp_stream[(4, 1)]",183.0702420664766,10161.942643493556,718.6684636897154,5926633.79146387,59325.20422224878,1.0,,,,,10161.942643493556,
"hp_stream[(5, 1)]",183.0702420664766,10161.942643493556,708.594766820964,5546519.439217942,58986.093101327526,1.0,,,,,10161.942643493556,
"hp_stream[(6, 1)]",183.0702420664766,10161.942643493556,698.6482287514582,5190784.342695803,58651.48963848421,1.0,,,,,10161.942643493556,
"hp_stream[(7, 1)]",183.0702420664766,10161.942643493556,688.8277481182392,4857864.898455135,58321.34237540883,1.0,,,,,10161.942643493556,
"hp_stream[(8, 1)]",183.0702420664766,10161.942643493556,679.1322335615927,4546297.787317936,57995.600618883494,1.0,,,,,10161.942643493556,
"hp_stream[(9, 1)]",183.0702420664766,10161.942643493556,669.5606046330597,4254713.542475198,57674.21437906258,1.0,,,,,10161.942643493556,
inlet_to_hp_stream,183.0702420664766,10161.942643493556,760.2571566148338,7726064.094636265,60727.785279380776,1.0,,,,,10161.942643493556,
"ip_stream[(1, 1)]",164.4540614015396,9128.587587955313,788.149891647651,2445483.0250574173,62994.59179207264,1.0,,,,,9128.587587955313,
"ip_stream[(2, 1)]",164.4540614015396,9128.587587955313,762.6697748270551,2079244.496396922,62048.83837488258,1.0,,,,,9128.587587955313,
"ip_stream[(3, 1)]",164.4540614015396,9128.587587955313,738.8543327728861,1775889.9324350518,61170.97729590014,1.0,,,,,9128.587587955313,
"ip_stream[(4, 1)]",164.4540614015396,9128.587587955313,714.6638452153627,1509930.4842386246,60283.5935560393,1.0,,,,,9128.587587955313,
"ip_stream[(5, 1)]",164.4540614015396,9128.587587955313,691.1186763807656,1283801.4482727342,59424.9102503708,1.0,,,,,9128.587587955313,
"ip_stream[(6, 1)]",164.4540614015396,9128.587587955313,668.2102934918864,1091537.7732891056,58594.189991625484,1.0,,,,,9128.587587955313,
"ip_stream[(6, 2)]",159.78725274901868,8869.540342921046,668.2102934918864,1091537.7732891056,58594.189991625484,1.0,,,,,8869.540342921046,
"ip_stream[(7, 1)]",159.78725274901868,8869.540342921046,648.7488771886622,946035.0884063289,57892.60088952769,1.0,,,,,8869.540342921046,
"ip_stream[(8, 1)]",159.78725274901868,8869.540342921046,629.7598587920451,819928.0046893299,57211.2105154344,1.0,,,,,8869.540342921046,
"ip_stream[(9, 1)]",159.78725274901868,8869.540342921046,611.2372405653012,710631.0760696392,56549.548791656,1.0,,,,,8869.540342921046,
ip_to_lp_stream,146.39696032551643,8126.266165472667,611.2372405653012,710631.0760696392,56549.548791656,1.0,,,,,8126.266165472667,
"lp_stream[(1, 1)]",146.39696032551643,8126.266165472667,564.7041325150454,464720.7252490762,54911.16243329352,1.0,,,,,8126.266165472667,
"lp_stream[(2, 1)]",146.39696032551643,8126.266165472667,521.2828803610428,303906.4287344276,53396.154397715436,1.0,,,,,8126.266165472667,
"lp_stream[(2, 2)]",136.70140784550574,7588.081220247797,521.2828803610428,303906.4287344276,53396.154397715436,1.0,,,,,7588.081220247797,
"lp_stream[(3, 1)]",136.70140784550574,7588.081220247797,469.5662150738414,180599.4675477315,51604.14672392782,1.0,,,,,7588.081220247797,
"lp_stream[(4, 1)]",136.70140784550574,7588.081220247797,422.5356355727351,107323.05931911085,49989.57356694445,1.0,,,,,7588.081220247797,
"lp_stream[(4, 2)]",132.4390061973178,7351.481975152083,422.5356355727351,107323.05931911085,49989.57356694445,1.0,,,,,7351.481975152083,
"lp_stream[(5, 1)]",132.4390061973178,7351.481975152083,374.64225033558955,59825.633892540915,48355.208938920216,1.0,,,,,7351.481975152083,
lp_to_outlet_stream,123.68785945879007,6865.719514700302,374.64225033558955,59825.633892540915,48355.208938920216,1.0,,,,,6865.719514700302,
stream_inlet_mix_inlet[1],183.0702420664766,10161.942643493556,760.2571566148338,7726064.094636265,60727.785279380776,1.0,,,,,10161.942643493556,
stream_throttle_inlet[1],183.0702420664766,10161.942643493556,813.8257570051101,12058568.798472628,62277.04942962767,1.0,,,,,10161.942643493556,
stream_throttle_outlet[1],183.0702420664766,10161.942643493556,805.6719764028285,10109318.565916672,62277.04942962767,1.0,,,,,10161.942643493556,
ww_arcs[10],2344.8287346268708,130157.77354705952,604.1097077669322,13017579.185854875,28639.16567937973,0.050885278978400325,,,,,130157.77354705952,
ww_arcs[11],2344.8287346268708,130157.77354705952,603.981812054175,12996220.784232918,28829.607461794138,0.060917158502704113,,,,,130157.77354705952,
ww_arcs[12],2344.8287346268708,130157.77354705952,603.8619616227533,12976231.08660606,28979.819291587883,0.06891122970106259,,,,,130157.77354705952,
ww_arcs[13],2344.8287346268708,130157.77354705952,603.6876921737784,12947208.275358627,29065.82436746917,0.07402384869223298,,,,,130157.77354705952,
ww_arcs[1],2344.8287346268708,130157.77354705952,602.5739481116492,13136324.739163024,27397.27163499753,0.0,,,,,130157.77354705952,
ww_arcs[2],2344.8287346268708,130157.77354705952,603.7661004572159,13110253.556998078,27552.23472608445,0.0,,,,,130157.77354705952,
ww_arcs[3],2344.8287346268708,130157.77354705952,604.5068351064284,13101258.206864927,27649.576448712007,0.0,,,,,130157.77354705952,
ww_arcs[4],2344.8287346268708,130157.77354705952,604.5539149465923,13091976.902307991,27759.553754414195,0.0050878733792252785,,,,,130157.77354705952,
ww_arcs[5],2344.8287346268708,130157.77354705952,604.5025409728522,13083355.408221986,27870.233857636562,0.010845860978082338,,,,,130157.77354705952,
ww_arcs[6],2344.8287346268708,130157.77354705952,604.4521881741215,13074909.646439075,27983.580462464775,0.016723662650490616,,,,,130157.77354705952,
ww_arcs[7],2344.8287346268708,130157.77354705952,604.4073081244021,13067385.475007359,28085.915766740047,0.022022241494960154,,,,,130157.77354705952,
ww_arcs[8],2344.8287346268708,130157.77354705952,604.3579918090899,13059121.511484914,28188.538574204853,0.027355406867409487,,,,,130157.77354705952,
ww_arcs[9],2344.8287346268708,130157.77354705952,604.2362497516164,13038738.823967533,28422.050856599973,0.0395243647172826,,,,,130157.77354705952,
