,flow_mass,flow_mol,temperature,pressure,enth_mol,vapor_frac,"('flow_mol_comp', 'O2')","('flow_mol_comp', 'N2')","('flow_mol_comp', 'NO')","('flow_mol_comp', 'CO2')","('flow_mol_comp', 'H2O')","('flow_mol_comp', 'SO2')"
"lp_stream[(3, 1)]",136.5952025601819,7582.1859310641785,463.3026343811885,179928.70136616201,51378.18928068555,1.0,,,,,7582.1859310641785,
"lp_stream[(4, 1)]",136.5952025601819,7582.1859310641785,416.85288707079707,106924.44973475643,49786.107153409794,1.0,,,,,7582.1859310641785,
"lp_stream[(4, 2)]",132.38595334623517,7348.537094412918,416.85288707079707,106924.44973475643,49786.107153409794,1.0,,,,,7348.537094412918,
"lp_stream[(5, 1)]",132.38595334623517,7348.537094412918,369.6013432253897,59603.43494283767,48174.64006008081,1.0,,,,,7348.537094412918,
lp_to_outlet_stream,123.93774920397564,6879.590503393543,369.6013432253897,59603.43494283767,48174.64006008081,1.0,,,,,6879.590503393543,
stream_inlet_mix_inlet[1],183.1002715179507,10163.609531350647,755.4388741692084,7695038.621935933,60519.23506358786,1.0,,,,,10163.609531350647,
stream_throttle_inlet[1],183.1002715179507,10163.609531350647,808.8738807303358,11982985.242793627,62059.551114641494,1.0,,,,,10163.609531350647,
stream_throttle_outlet[1],183.1002715179507,10163.609531350647,800.7430464340956,10072661.100015093,62059.551114641494,1.0,,,,,10163.609531350647,
ww_arcs[10],2353.697523885579,130650.06615970324,603.6697432206591,12944221.975074066,28587.447365690474,0.050714547606004974,,,,,130650.06615970324,
ww_arcs[11],2353.697523885579,130650.06615970324,603.5410582376815,12922827.63377758,28777.67939703614,0.060697393826194754,,,,,130650.06615970324,
ww_arcs[12],2353.697523885579,130650.06615970324,603.4204676018711,12902804.367150038,28927.85194065262,0.06865905533368963,,,,,130650.06615970324,
ww_arcs[13],2353.697523885579,130650.06615970324,603.2451823775813,12873743.127000956,29013.855814877945,0.07375368259320292,,,,,130650.06615970324,
ww_arcs[1],2353.697523885579,130650.06615970324,602.1004175610358,13063207.475694718,27341.57437659636,0.0,,,,,130650.06615970324,
ww_arcs[2],2353.697523885579,130650.06615970324,603.3078702062518,13037075.624471905,27497.69749015237,0.0,,,,,130650.06615970324,
ww_arcs[3],2353.697523885579,130650.06615970324,604.0582569760252,13028059.40808131,27595.787677723336,0.0,,,,,130650.06615970324,
ww_arcs[4],2353.697523885579,130650.06615970324,604.1167535444853,13018756.626726206,27706.579145883123,0.005035606021820429,,,,,130650.06615970324,
ww_arcs[5],2353.697523885579,130650.06615970324,604.0650322949289,13010115.294188092,27818.024748009968,0.010808530644067836,,,,,130650.06615970324,
ww_arcs[6],2353.697523885579,130650.06615970324,604.0143501656106,13001651.972735807,27932.0666791316,0.016697231944155465,,,,,130650.06615970324,
ww_arcs[7],2353.697523885579,130650.06615970324,603.9691850216955,12994113.591462282,28034.912385573833,0.02199985847277195,,,,,130650.06615970324,
ww_arcs[8],2353.697523885579,130650.06615970324,603.9195620352683,12985835.14881871,28137.436270509763,0.027307089385584224,,,,,130650.06615970324,
ww_arcs[9],2353.697523885579,130650.06615970324,603.7970657422744,12965417.333674876,28370.652902868358,0.03941368286392306,,,,,130650.06615970324,
