,,Units,Description,
ccs_costing,fs.costing.stripper_packing_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the stripper packing,
ccs_costing,fs.costing.stripper_condenser_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the condenser,
ccs_costing,fs.costing.stripper_reboiler_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the reboiler,
ccs_costing,fs.costing.reboiler_condensate_pot_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the condensate pot,
ccs_costing,fs.costing.stripper_reflux_drum_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the stripper reflux drum,
ccs_costing,fs.costing.stripper_reflux_pump_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the stripper reflux pump,
ccs_costing,fs.costing.solvent_filtration_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the solvent filtration,
ccs_costing,fs.costing.solvent_storage_tank_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the solvent storage tank,
ccs_costing,fs.costing.RemovalSystem_Equip_Adjust,Million USD (2018),Total plant cost (TPC) term corresponding to the total solvent purchased,
ccs_costing,fs.costing.UC_rich_solvent_pump,USD (2018) / hr,Rich solvent pump utility cost,
ccs_costing,fs.costing.UC_lean_solvent_pump,USD (2018) / hr,Lean solvent pump utility cost,
ccs_costing,fs.costing.UC_reboiler,USD (2018) / s,Reboiler utility cost,
ccs_costing,fs.costing.UC_condenser,USD (2018) / s,Condenser utility cost,
ccs_costing,fs.costing.UC_H2O_makeup,USD (2018) / s,H2O makeup utility cost,
ccs_costing,fs.costing.CCS_TEC,USD (2018),Total equipment cost (TEC) of the CCS system,
ccs_costing,fs.costing.CCS_TPC,,Total plant cost (TPC) of the CCS system,
ccs_costing,fs.costing.CCS_AIC,,Annualized investment cost (AIC) of the CCS system,
ccs_costing,fs.costing.CCS_AOC,,Annualized operating cost (AOC) of the CCS system,
ccs_costing,fs.costing.CCS_TAC,,Total annualized cost (TAC) of the CCS system,
ccs_costing,fs.costing.CCS_TAC_perCO2captured,USD (2018) / metric ton CO2,"Total annualized cost (TAC) of the CCS system, divided by the total mass flow rate of CO2 captured",
ccs_costing,fs.tac_obj_terms[tac_term],,[Deprecated] Scaled CCS TAC term of the TAC-based objective function,
ccs_costing,fs.tac_obj_terms[distillate_h2o_comp_term],,[Deprecated] Scaled distillate H2O mole fraction term of the TAC-based objective function,
ccs_costing,fs.tac_obj,,[Deprecated] TAC-based objective function,
ccs_costing,fs.costing_setup.CO2_capture_rate[0.0],lb/hr,Total mass flow rate of CO2 captured (all four process trains),
ccs_costing,fs.co2_capture_target_mass_flow,metric ton/hr,CO2 capture target mass flow rate (all four process trains),
ccs_costing,fs.levelized_cost_of_target_capture,USD (2018) / metric ton CO2,Levelized cost of CO2 target capture (LCOTC): CCS total annualized cost divided by the CO2 capture target mass flow rate,
ccs_costing,fs.lcoc_obj,,"Scaled levelized cost of CO2 target capture (LCOTC), used as the objective function for optimization of the CCS system",
tac_obj,tac_obj,,[Deprecated] Scaled CCS TAC term of the TAC-based objective function,
tac_obj,tac_term,,[Deprecated] Scaled distillate H2O mole fraction term of the TAC-based objective function,
tac_obj,distillate_h2o_comp_term,,[Deprecated] TAC-based objective function,
design_epigraph_vars,rich_solvent_flow_vol,m^3/s,"Maximum volumetric flow rate of the rich solvent stream, as measured at the rich solvent pump inlet",
design_epigraph_vars,lean_solvent_flow_vol,m^3/s,"Maximum volumetric flow rate of the lean solvent stream, as measured at the lean solvent pump inlet",
design_epigraph_vars,reboiler_heat_duty,W,Maximum reboiler heat duty,
design_epigraph_vars,CO2_capture_flow_rate,lb/hr,Maximum CO2 capture target mass flow rate (total over all four process trains), 
design_epigraph_vars,solvent_fill_init,kg,Maximum solvent fill (total over all four process trains),
solvent_fill_init,solvent_fill_init,kg,Initial solvent fill (total over all four process trains),
ccs_aic_terms,absorber_column,USD (2018) / yr,Annualized investment cost of the absorber column,
ccs_aic_terms,absorber_packing,USD (2018) / yr,Annualized investment cost of the absorber packing,
ccs_aic_terms,lean_rich_hex,USD (2018) / yr,Annualized investment cost of the cross heat exchanger,
ccs_aic_terms,rich_solvent_pump,USD (2018) / yr,Annualized investment cost of the rich solvent pump,
