Name,Year,Reference,NGCC,SOFC,NGCC + SOEC,rSOC,SOFC + SOEC,SOEC,SMR,ATR,Natural Gas Price,Carbon Tax,Hydrogen Price,Mean LMP,Minimum LMP,25th Percentile,50th Percentile,75th Percentile ,Maximum LMP,Standard Deviation,Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Data labels,NGCC.1,SOFC.1,NGCC + SOEC.1,rSOC.1,SOFC + SOEC,SOEC.1,SMR.1,ATR.1,Passes Neither Test,Passes Bimodality Test Only,Passes Dip Test Only,Passes both tests. Bimodal.,NGCC_H2,NGCC_power,SOFC_H2,SOFC_power,NGCC + SOEC_H2,NGCC + SOEC_power,rSOC_H2,rSOC_power,SOFC + SOEC_H2,SOFC + SOEC_power,SOEC_H2,SOEC_power,Combined_Bimodal_Criteria
MISO_INDIANA_2019,2019,1,-150.7290933,-55.76236787,99.37648406,194.8939229,234.6983464,243.0905604,299.6440226,312.9058757,2.73,0,3,26.40543493,2.26,20.95,23.33,26.67,936.4,21.65415639,19.41167486,575.7270708,0.652833553,0.002054795,-8.392213943,0,0,1,1,1,1,1,1,0,1,0,0,0,0.337585177,0,0.97809908,0.987781288,0.012106751,0.962671233,0.037328767,0.987468398,0.014492168,0.989680365,0,0.001341439
ERCOT_NORTH_2019,2019,1,-122.149642,-37.58060975,-13.31679511,97.6455292,120.8525612,106.4726537,151.5706458,163.8810217,2.39,0,2,27.53171447,-10.4186,16.181525,19.1182,24.5337,4696.8861,106.8929074,31.99749128,1178.307986,0.867545609,0.003474165,14.37990749,0,0,0,1,1,1,1,1,0,1,0,0,0,0.298800492,0,0.924301456,0.959343288,0.040289515,0.893721461,0.106278539,0.958526156,0.043159681,0.956666666,0,0.003013997
ERCOT_NORTH_2019,2019,1,-121.254932,-37.58060975,-156.6088848,-22.32366074,-22.14391065,-36.83890485,-6.109354193,6.201021709,2.39,0,1,27.53171447,-10.4186,16.181525,19.1182,24.5337,4696.8861,106.8929074,31.99749128,1178.307986,0.867545609,0.003474165,14.6949942,0,0,0,0,0,0,0,1,0,1,0,0,0,0.298800492,0,0.924301486,0.770268086,0.223012736,0.48915525,0.510844748,0.762383967,0.23888927,0.786917362,0,0.003013996
ERCOT_NORTH_2019,2019,1,-121.254932,-37.58060975,-87.94429611,30.74679571,46.29045293,32.32778618,72.73064581,85.04102171,2.39,0,1.5,27.53171447,-10.4186,16.181525,19.1182,24.5337,4696.8861,106.8929074,31.99749128,1178.307986,0.867545609,0.003474165,13.96266676,0,0,0,1,1,1,1,1,0,1,0,0,0,0.298800492,0,0.924301486,0.92855769,0.070105303,0.785159817,0.214840182,0.927008141,0.074610757,0.931803325,0,0.003013996
ERCOT_NORTH_2019,2019,1,-121.254932,-37.58060975,62.85938325,169.9735322,196.9969025,182.7693614,230.4106458,242.7210217,2.39,0,2.5,27.53171447,-10.4186,16.181525,19.1182,24.5337,4696.8861,106.8929074,31.99749128,1178.307986,0.867545609,0.003474165,14.22754112,0,0,1,1,1,1,1,1,0,1,0,0,0,0.298800492,0,0.924301486,0.970807299,0.02907866,0.934474886,0.065525114,0.97059869,0.03111253,0.971483599,0,0.003013996
ERCOT_NORTH_2019,2019,1,-121.254932,-37.58060975,139.6814133,244.4314372,273.7941422,259.5712045,309.2506458,321.5610217,2.39,0,3,27.53171447,-10.4186,16.181525,19.1182,24.5337,4696.8861,106.8929074,31.99749128,1178.307986,0.867545609,0.003474165,14.22293765,0,0,1,1,1,1,1,1,0,1,0,0,0,0.298800492,0,0.924301486,0.977819882,0.022109201,0.953082192,0.046917808,0.977563925,0.024161904,0.976892627,0,0.003013996
ERCOT_SOUTH_2019,2019,1,-123.4373278,-37.60879009,-159.1585928,-25.57818976,-24.74622361,-39.4885697,-6.120711313,6.178504215,2.39,0,1,27.56735732,-50.289,16.821125,19.5852,24.84005,4694.8095,105.7408848,32.53129572,1210.846094,0.872667721,0.001490977,12.86256649,0,0,0,0,0,0,0,1,0,1,0,0,0,0.317834563,0,0.943980628,0.761444418,0.23073832,0.447031962,0.552968035,0.755117809,0.246224014,0.795273972,0,0.001301128
ERCOT_SOUTH_2019,2019,1,-123.4373278,-37.60879009,-90.27522438,25.78056313,43.89808598,30.1312502,72.71928869,85.01850422,2.39,0,1.5,27.56735732,-50.289,16.821125,19.5852,24.84005,4694.8095,105.7408848,32.53129572,1210.846094,0.872667721,0.001490977,13.76683578,0,0,0,1,1,1,1,1,0,1,0,0,0,0.317834563,0,0.943980628,0.933132422,0.06559612,0.781506849,0.218493151,0.931015993,0.070695767,0.934908332,0,0.001301128
ERCOT_SOUTH_2019,2019,1,-123.4373278,-37.60879009,61.12385802,165.5638444,195.2027308,181.0791086,230.3992887,242.6985042,2.39,0,2.5,27.56735732,-50.289,16.821125,19.5852,24.84005,4694.8095,105.7408848,32.53129572,1210.846094,0.872667721,0.001490977,14.1236222,0,0,1,1,1,1,1,1,0,1,0,0,0,0.317834563,0,0.943980628,0.973806776,0.02604043,0.939383561,0.060616438,0.97359314,0.028200833,0.973584475,0,0.001301128
ERCOT_SOUTH_2019,2019,1,-123.4373278,-37.60879009,138.1834927,240.4019766,272.2394182,258.0685536,309.2392887,321.5385042,2.39,0,3,27.56735732,-50.289,16.821125,19.5852,24.84005,4694.8095,105.7408848,32.53129572,1210.846094,0.872667721,0.001490977,14.17086461,0,0,1,1,1,1,1,1,0,1,0,0,0,0.317834563,0,0.943980628,0.980561033,0.019345028,0.957534246,0.042465753,0.9801182,0.021696436,0.979153594,0,0.001301128
ERCOT_SOUTH_2019,2019,1,-124.3873698,-37.60879009,-15.27942007,92.83561274,118.8296415,104.5574114,151.5592887,163.8585042,2.39,0,2,27.56735732,-50.289,16.821125,19.5852,24.84005,4694.8095,105.7408848,32.53129572,1210.846094,0.872667721,0.001490977,14.27223,0,0,0,1,1,1,1,1,0,1,0,0,0,0.317834563,0,0.943980498,0.963460509,0.036194027,0.898972603,0.101027397,0.962663032,0.039115249,0.959680365,0,0.001301128
ERCOT_HOUSTON_2019,2019,1,-120.2623196,-34.12538779,-156.0934042,-22.68760974,-21.34156206,-40.53637421,-6.321074981,5.781247876,2.39,0,1,28.19617263,-71.9689,16.90365,19.634,24.99815,4694.6368,107.0564936,31.59607622,1156.477019,0.861863694,0.001605825,12.78382573,0,0,0,0,0,0,0,1,0,1,0,0,0,0.325855286,0,0.947332567,0.770725287,0.220457881,0.444863013,0.555136985,0.749642568,0.251695819,0.785890411,0,0.001384002
ERCOT_HOUSTON_2019,2019,1,-120.2623196,-34.12538779,-87.80304996,28.36901655,46.69474787,28.47841072,72.51892502,84.62124788,2.39,0,1.5,28.19617263,-71.9689,16.90365,19.634,24.99815,4694.6368,107.0564936,31.59607622,1156.477019,0.861863694,0.001605825,18.21633715,0,0,0,1,1,1,1,1,0,1,0,0,0,0.325855286,0,0.947332567,0.925949849,0.072617739,0.776826484,0.223173516,0.924925357,0.076783714,0.929976846,0,0.001384002
